brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
5,1,3,0,8,1,512,0,2,1,2,57500,3,0,0
3,1,3,1,8,1,512,0,2,1,2,79990,4,23,2
6,1,3,0,8,1,512,0,2,1,0,56541,4,677,87
1,1,3,1,16,1,512,0,2,1,0,59990,3,3,0
5,1,3,1,16,1,512,0,2,1,0,64990,4,46,4
3,1,3,1,8,1,512,0,2,1,0,61290,3,4,1
5,1,3,1,8,1,512,0,2,1,0,54990,4,9,1
5,1,3,1,8,1,512,0,2,1,0,59990,4,26,4
1,1,3,1,8,1,512,0,2,0,6,84990,5,5,0
4,1,3,1,8,1,512,0,2,1,0,72500,4,40,3
5,1,3,1,8,1,512,0,2,1,4,59990,3,44,6
5,1,3,1,8,1,512,0,2,1,0,87990,4,28,6
4,1,3,1,8,1,512,0,2,1,0,57990,4,1541,123
3,1,3,1,8,1,512,0,2,1,0,69490,4,72,7
5,1,3,1,8,1,512,0,2,1,0,68990,4,44,8
5,1,3,1,8,1,512,0,2,0,0,77990,4,17,2
1,1,3,1,8,5,512,0,2,1,0,105990,4,59,11
6,1,3,1,8,5,512,0,2,1,0,79990,3,0,0
3,1,3,1,8,1,512,0,2,1,0,55490,4,337,27
5,1,3,1,8,1,512,0,2,1,0,69990,4,10,2
1,1,3,1,8,1,512,0,2,1,0,84990,4,10,2
3,1,3,1,8,1,512,0,2,1,0,59990,3,31,7
3,1,3,0,8,5,512,0,2,1,0,111890,3,0,0
3,1,3,1,8,1,512,0,2,1,2,65990,4,10,0
1,1,3,1,8,5,512,0,2,0,0,72990,4,76,14
3,1,3,1,8,1,512,0,2,1,0,71090,4,44,6
6,1,3,1,8,1,512,0,2,1,4,74990,3,0,0
1,1,3,0,8,3,512,0,2,1,0,79990,4,11,3
6,1,3,1,8,1,512,0,2,1,0,55490,4,138,16
3,1,3,1,8,1,512,0,2,1,2,66490,4,199,17
1,1,3,1,8,1,512,0,2,1,0,53400,4,46,6
3,1,3,1,8,1,512,0,2,1,0,74500,4,45,5
3,1,3,1,8,5,512,0,2,1,0,114990,3,0,0
3,1,3,1,8,1,512,0,2,1,2,61990,4,35,4
0,1,3,0,8,5,512,0,1,1,0,159990,4,32,5
0,1,3,5,8,0,512,0,1,1,0,172090,4,108,13
6,1,3,1,8,1,512,0,2,1,4,74990,3,0,0
6,1,3,0,8,1,512,0,2,1,0,56490,4,814,112
5,1,3,0,8,1,512,0,2,1,0,147000,3,0,0
5,1,3,1,8,1,512,0,2,1,0,55990,4,75,9
4,1,3,1,8,1,512,0,2,1,4,77990,3,0,0
4,1,3,0,8,1,512,0,2,1,4,106490,4,3,0
5,1,3,1,8,1,512,0,2,0,2,70990,4,11,3
5,1,3,1,8,1,512,0,2,1,0,64990,4,125,11
7,1,3,1,8,1,512,0,2,1,0,57990,3,0,0
1,1,3,0,8,1,512,0,2,1,4,64990,4,4,0
6,1,3,0,8,1,512,0,2,1,0,54990,4,714,147
4,1,3,1,8,5,512,0,2,1,0,111999,3,0,0
5,1,3,0,8,5,512,0,2,1,2,70798,4,21,3
5,1,3,6,8,1,512,0,2,1,4,59990,3,9,1
7,1,3,5,8,1,512,0,2,1,4,99500,3,0,0
4,1,3,0,8,1,512,0,2,1,0,55990,4,30,4
1,1,3,5,8,3,512,0,2,1,0,72990,4,44,4
7,1,3,5,8,0,512,0,2,1,0,64990,3,4,1
1,1,3,1,8,1,512,0,2,1,0,57990,3,0,0
4,1,3,1,8,1,512,0,2,1,2,76990,4,14,2
5,1,3,1,8,1,512,0,2,1,0,62998,4,739,71
3,1,3,1,8,1,512,0,2,1,0,77990,4,31,5
4,1,3,0,8,1,512,0,2,1,0,114990,4,145,19
3,1,3,0,8,1,512,0,2,1,2,65990,3,0,0
3,1,3,1,8,1,512,0,2,1,2,88990,3,19,2
5,1,3,0,8,1,512,0,2,1,0,113590,3,0,0
1,1,3,1,8,5,512,0,2,1,0,73990,4,32,6
4,1,3,1,8,1,512,0,2,1,0,61000,4,1124,100
1,1,3,1,8,5,512,0,2,1,0,99990,4,35,6
5,1,3,1,8,1,512,0,2,1,0,67990,4,9,0
3,1,3,1,8,1,512,0,2,1,0,70799,4,98,6
5,1,3,1,8,1,512,0,2,1,0,65990,4,31,2
1,1,3,5,8,1,512,0,2,1,0,53690,4,19,3
6,1,3,1,8,1,512,0,2,1,0,55990,3,0,0
1,1,3,1,8,1,512,0,2,1,0,53190,4,11,0
5,1,3,0,8,1,512,0,2,0,2,58999,4,45,3
3,1,3,1,8,1,512,0,2,1,2,71990,3,0,0
4,1,3,1,8,1,512,0,2,0,4,82000,3,0,0
1,1,3,1,8,5,512,0,2,1,0,84990,3,0,0
5,1,3,1,8,1,512,0,2,1,2,89998,3,0,0
1,1,3,1,8,5,512,0,2,1,0,99990,3,0,0
1,1,3,1,8,5,512,0,2,1,0,84990,3,0,0
5,1,3,0,8,1,512,0,2,1,4,69899,4,474,37
3,1,3,0,8,1,512,0,2,1,4,79990,3,0,0
3,1,3,0,8,1,512,0,2,1,4,76300,4,6,0
5,1,3,0,8,1,512,0,2,1,0,55999,3,0,0
3,1,3,1,8,1,512,0,2,1,0,72900,3,24,4
3,1,3,1,8,1,512,0,2,1,0,73990,4,195,17
1,1,3,1,8,4,512,0,2,1,0,84990,3,0,0
3,1,3,1,8,1,512,0,2,0,2,73519,3,0,0
